87
CatMain;Main;
CatCopyPaste;Copy && Paste;
CatElementsEditor;Elements Editor;
CatFiles;Files;
CatHints;Hints (tooltips);
CatMisc;Misc.;
CatPW;PW;
CatSSH;SSH;
CatSystem;System;
CatDevelopment;[Development];
CatLiveSearch;Live Search;
CatLimits;Limits;
ProjectName;Project Name;
AutoDownloadUpdates;Download updates automatically;
LoadFieldPos;Load the latest selected item at startup;
UseBetaUpdateChannel;Prefer beta channel for updates;
ElementsFileName2;The second elements.data file name;
ElementsFileName3;The third elements.data file name;
ShowLicenseEmailInsteadOfName;Show license Email instead of Name in the program title (if specified);
PasteWithDependencies;Paste with dependencies;
PasteWithDesc;Paste with item_ext_desc and item_color;
PasteAutoSetUniqueID;Set unique ID to pasted items;
PasteDependenciesMode;Dependencies paste mode;
PasteDependenciesModeDesc;Dependencies paste mode;
UseNewLineWhenCopyFields;When copy fields use new line as a separator;
PasteReplaceDependencies;Replace existed dependencies (not recommended);
PasteAutoSetUniqueIdToDependencies;Set unique ID to pasted dependencies (not recommended);
PasteDependenciesAsNew;Paste dependencies as new (set unique ID to all items) (not recommended);
ShowHintsInPinnedHint;Show hints in the pinned hint;
bShowItemIdOnHint;Show item ID in hints;
TasksHintItemsLimit;Tasks hint (tooltip) items limit;
ToolTipReferencesNumLimit;References count limit;
IncludeQuestIntoItemHint;Include quest info into item hint;
IncludeQuestFromSubitems;Include quest info from subitems into item hint;
HintIdDuplicatesLimit;Hint (tooltip) duplicated IDs limit;
ListHintItemsLimit;List hint items limit (0 - disable hint);
DisableAllHints;DISABLE ALL HINTS (for elements and quests Ctrl+F1);
AutoSetUniqueID;Set unique ID after item cloning;
UseSmartUniqueID;Use Smart Unique ID (all lists that have overlapping (occupied) IDs will have unique IDs only for those lists);
ShowRefCountInItemList;Show references count on items list;
NewTitleGiftIcon;New (generated) title gift icon;
ShowSubitemsCountInListView;Show subitems count (in items list);
ShowItemCountInTabTitle;Show items count in tab title (label "(0 of 32)");
ExperimentalIcons;Alternative icons picker;
DisableTooHighIdErrors;Disable item ID limit checking (65355);
LiveSearchMatchesLimit;Live search matches limit;
HighlightLiveSearchMatches;Highlight live search matches;
RecentElementsLimit;Recent elements.data limit;
RecentProfilesLimit;Recent profiles limit;
FavoriteItemsLimit;Favorite items limit;
RecentItemsLimit;Recent items limit;
PWGShopDefaultVersion;Default version of the gshop.data;
CurrentGShopSaleOption;Current sale option in gshop (0 - 3);
ConvertVersion29To27WhenSendToServer_PW;Convert PW elements v29 to v27 before sending it to a server;
ConvertVersion12To7WhenSendToServer_PW;Convert PW elements v12 to v7 before sending it to a server;
SaveGshopSevIntoCurrentDir;Save file gshopsev.data into current directory (but not to specified server folder);
ModelsPckBaseName;Models package base name (models or models2 for 1.5.7+);
ServerPath;Server directory (path to the game server);
BackupItemDesc;Backup file item_ext_desc.txt (it works only if option 'Use Pck' is enabled);
BackupItemDescDir;Backup item_ext_desc.txt path (it works only if option 'Use Pck' is enabled);
BackupItemColor;Backup file item_color.txt;
BackupItemColorDir;File item_color.txt backup directory (it works only if option 'Use Pck' is enabled);
WorldTargetsPath;File world_targets.txt path;
PreinctPaths;precinct.clt paths;
NpcGenPaths;NPCGen paths;
LineIconsCount;Icon count in one line (in icon picker window);
ShowOriginalFieldsToo;Show original field names too (from the structure);
DisableShopPriceTaxCalculation;Disable shop price tax calculation (not recommended);
UpdateElementsTimeStamp;Update elements.data time stamp on each saving (not recommended);
YandexApiKey;Custom Yandex Translate (Cloud) API KEY;
MoneyFields;Money fields (coins);
PWDBLang;PWDB Language Code;
ItemColors;Item Colors in the item_color.txt;
AllowToEditAddonsId;Allow to modify addons Id (MID);
ShowPercentageInMainWindow;Show percentage of probabilities (in the main window);
DontRandomizeNpcTalk;Do not randomize elements metadata;
DisableIconsDictCache;Disable icons dictionary cache (not recommended);
WaitBeforeLoadIcons;Wait Before Loading Icons (strongly not recommended!);
UseSimpleFolderPicker;Use Simple Folder Picker;
UseReserveServer;Use reserve license server (DO NOT ENABLE IT IF YOU DON'T KNOW WHAT IS IT);
UseInvariantCulture;Activate InvariantCulture (number decimal separator - dot, number group separator - comma);
domain2CatNeighbors;TIME;
domain2Points;Points;
domain2Triangles;Triangles;
domain2Neighbors;Neighbors;
domain2BaseLogoX;Base (map) Logo X;
domain2BaseLogoY;Base (map) Logo Y;
