0
190
269
3000

@EQUIPMENT_ADDON;Equipment Addon
@WEAPON_MAJOR_TYPE;Weapon Type
@WEAPON_SUB_TYPE;Weapon Sub Type
@WEAPON_ESSENCE;Weapon
@ARMOR_MAJOR_TYPE;Armor Type
@ARMOR_SUB_TYPE;Armor Sub Type
@ARMOR_ESSENCE;Armor
@DECORATION_MAJOR_TYPE;Decoration Type
@DECORATION_SUB_TYPE;Decoration Sub Type
@DECORATION_ESSENCE;Decoration
@MEDICINE_MAJOR_TYPE;Medicine Type
@MEDICINE_SUB_TYPE;Medicine Sub Type
@MEDICINE_ESSENCE;Medicine
@MATERIAL_MAJOR_TYPE;Material Type
@MATERIAL_SUB_TYPE;Material Sub Type
@MATERIAL_ESSENCE;Material
@DAMAGERUNE_SUB_TYPE;Damage Rune Sub Type
@DAMAGERUNE_ESSENCE;Damage Rune
@ARMORRUNE_SUB_TYPE;Armor Rune Sub Type
@ARMORRUNE_ESSENCE;Armor Rune
@SKILLTOME_SUB_TYPE;Skill Tome Sub Type
@SKILLTOME_ESSENCE;Skill Tome
@FLYSWORD_ESSENCE;Flysword
@WINGMANWING_ESSENCE;Wingmanwing
@TOWNSCROLL_ESSENCE;Town Scroll
@UNIONSCROLL_ESSENCE;Union Scroll
@REVIVESCROLL_ESSENCE;Revive Scroll
@ELEMENT_ESSENCE;Element
@TASKMATTER_ESSENCE;Task Matter
@TOSSMATTER_ESSENCE;Toss Matter
@PROJECTILE_TYPE;Projectile Type
@PROJECTILE_ESSENCE;Projectile
@QUIVER_SUB_TYPE;Quiver Sub Type
@QUIVER_ESSENCE;Quiver
@STONE_SUB_TYPE;Stone Sub Type
@STONE_ESSENCE;Stone
@MONSTER_ADDON;Monster Addon
@MONSTER_TYPE;Monster Type
@MONSTER_ESSENCE;Monster
@NPC_TALK_SERVICE;NPC Talk Service
@NPC_SELL_SERVICE;NPC Sell Service
@NPC_BUY_SERVICE;NPC Buy Service
@NPC_REPAIR_SERVICE;NPC Repair Service
@NPC_INSTALL_SERVICE;NPC Install Service
@NPC_UNINSTALL_SERVICE;NPC Uninstall Service
@NPC_TASK_IN_SERVICE;NPC Task In Service
@NPC_TASK_OUT_SERVICE;NPC Task Out Service
@NPC_TASK_MATTER_SERVICE;NPC Task Matter Service
@NPC_SKILL_SERVICE;NPC Skill Service
@NPC_HEAL_SERVICE;NPC Heal Service
@NPC_TRANSMIT_SERVICE;NPC Transmit Service
@NPC_TRANSPORT_SERVICE;NPC Transport Service
@NPC_PROXY_SERVICE;NPC Proxy Service
@NPC_STORAGE_SERVICE;NPC Storage Service
@NPC_MAKE_SERVICE;NPC Make Service
@NPC_DECOMPOSE_SERVICE;NPC Decompose Service
@NPC_TYPE;NPC Type
@NPC_ESSENCE;NPC
@FACE_TEXTURE_ESSENCE;Face Texture
@FACE_SHAPE_ESSENCE;Face Shape
