2
368
384
1174

@EQUIPMENT_ADDON;Lista de Addons
@WEAPON_MAJOR_TYPE;Tipo de Armas
@WEAPON_SUB_TYPE;Subtipo de Armas
@WEAPON_ESSENCE;Armas
@ARMOR_MAJOR_TYPE;Tipo de Armaduras
@ARMOR_SUB_TYPE;Subtipo de Armaduras
@ARMOR_ESSENCE;Armaduras
@DECORATION_MAJOR_TYPE;Tipo de Acessórios
@DECORATION_SUB_TYPE;Subtipo de Acessórios
@DECORATION_ESSENCE;Acessórios
@MEDICINE_MAJOR_TYPE;Tipo de Medicamentos
@MEDICINE_SUB_TYPE;Subtipo de Medicamentos
@MEDICINE_ESSENCE;Medicamentos
@MATERIAL_MAJOR_TYPE;Tipo de Materiais
@MATERIAL_SUB_TYPE;Subtipo de Materiais
@MATERIAL_ESSENCE;Materiais
@DAMAGERUNE_SUB_TYPE;Tipo de Poder de Ataque
@DAMAGERUNE_ESSENCE;Poder de Ataque
@ARMORRUNE_SUB_TYPE;Tipo de Poder de Defesa
@ARMORRUNE_ESSENCE;Poder de Defesa
@SKILLTOME_SUB_TYPE;Tipo de Livros de Habilidades
@SKILLTOME_ESSENCE;Livros de Habilidades
@FLYSWORD_ESSENCE;Asas
@WINGMANWING_ESSENCE;Missão de Asas
@TOWNSCROLL_ESSENCE;Portal da Cidade
@UNIONSCROLL_ESSENCE;Tipo de União
@REVIVESCROLL_ESSENCE;Pá/Pergaminho de Renascimento
@ELEMENT_ESSENCE;Elementos
@TASKMATTER_ESSENCE;Material de Missões
@TOSSMATTER_ESSENCE;Lançar Matéria
@PROJECTILE_TYPE;Tipo de Projétil
@PROJECTILE_ESSENCE;Projétil
@QUIVER_SUB_TYPE;Tipo de Balas
@QUIVER_ESSENCE;Balas
@STONE_SUB_TYPE;Tipo de Pedras
@STONE_ESSENCE;Pedras
@MONSTER_ADDON;Adicional de Monstros
@MONSTER_TYPE;Tipo de Monstros
@MONSTER_ESSENCE;Monstros
@NPC_TALK_SERVICE;Conversas de NPC
@NPC_SELL_SERVICE;Compras de NPC
@NPC_BUY_SERVICE;Vendas de NPC
@NPC_REPAIR_SERVICE;Serviço de Reparo (NPC)
@NPC_INSTALL_SERVICE;Serviço de Fundir Pedras (NPC)
@NPC_UNINSTALL_SERVICE;Serviço de Purificação (NPC)
